**Model**,**Label**,**Spline term**,**Coefficient**,**_p_**<sup>**a**</sup>,**_p_***<sup>**b**</sup>
LM1,Intercept,—,−2.878,0.593,< 0.0001
,Tmin2_10,—,0.539,< 0.0001,
,RH5_10,RH5_10,−0.079,0.292,
,,RH5_10′,0.347,0.099,
,,RH5_10″,−1.218,0.232,
LM2,Intercept,—,5.740,0.228,< 0.0001
,RH5_10,RH5_10,−0.117,0.115,
,,RH5_10′,0.482,0.022,
,,RH5_10″,−2.020,0.052,
,Tdew4_10,Tdew4_10′,−0.007,0.973,
,,Tdew4_10,0.532,0.037,
LM3,Intercept,—,−8.457,< 0.0001,< 0.0001
,Tmin2_10,—,0.579,< 0.0001,
,Rain6_10,—,0.018,0.019,
